type,vehicle_id,operator,prev_route,prev_headsign,prev_last_stop_planned,next_route,next_headsign,next_first_stop_planned,deadhead_start,deadhead_end,duration_min,period,day_type,from_stop_observed,to_stop_observed,from_lat,from_lon,to_lat,to_lon,move_m,speed_kmh,dwell_start_min,dwell_end_min,deadhead_label,beräknad_körtid_min
observed,9031001001007198,Övrigt,238,-,Högsätra,222,-,Södergarnsvägen,2025-03-17 06:35:28,2025-03-17 06:40:02,4.6,FM-topp,Vardag,Högsätra,Kvarnen,59.351200103759766,18.1519832611084,59.367557525634766,18.15421295166016,1823.2,23.8,0.0,0.0,Högsätra → Kvarnen,4.2
observed,9031001001004654,Keolis,507,-,Odenplan,157,-,Danderyds sjukhus,2025-03-17 06:35:49,2025-03-17 06:50:01,14.2,FM-topp,Vardag,Odenplan,Mörbylund,59.34295272827149,18.04805374145508,59.38820266723633,18.04278945922852,5040.4,21.3,0.0,0.0,Odenplan → Mörbylund,10.1
observed,9031001003001589,Nobina,809,-,Gullmarsplan,818C,-,Brandbergens centrum,2025-03-17 06:36:15,2025-03-17 07:02:05,25.8,FM-topp,Vardag,Gullmarsplan,Brandbergens centrum,59.29738998413086,18.08119010925293,59.17320251464844,18.16407585144043,14591.6,33.9,0.0,0.0,Gullmarsplan → Brandbergens centrum,16.5
observed,9031001001004923,Keolis,516,-,Sergels torg,516,-,Mossvägen,2025-03-17 06:36:24,2025-03-17 06:55:02,18.6,FM-topp,Vardag,Sergels torg,Poppelvägen,59.3341178894043,18.0644760131836,59.41332244873047,17.944734573364258,11116.4,35.9,0.0,0.0,Sergels torg → Poppelvägen,15.1
observed,9031001001004665,Nobina,159,-,Spånga station,117,-,Spånga station,2025-03-17 06:38:30,2025-03-17 06:41:00,2.5,FM-topp,Vardag,Spånga station,Kälvestavägen,59.3831901550293,17.89808464050293,59.38568878173828,17.885929107666016,742.3,17.8,0.0,0.0,Spånga station → Kälvestavägen,2.1
observed,9031001001004664,Keolis,113,-,Solna centrum,514,-,Sollentuna station,2025-03-17 06:40:15,2025-03-17 07:00:01,19.8,FM-topp,Vardag,Solna centrum,Sollentuna station,59.35865020751953,17.9981746673584,59.430301666259766,17.947294235229492,8472.0,25.7,0.0,0.0,Solna centrum → Sollentuna station,15.3
observed,9031001001007212,Keolis,76,-,Frihamnen,75,-,Ropsten,2025-03-17 06:42:02,2025-03-17 06:51:01,9.0,FM-topp,Vardag,Frihamnen,Ropsten,59.34109115600586,18.11763381958008,59.357460021972656,18.104368209838867,1969.4,13.1,0.0,0.0,Frihamnen → Ropsten,4.7
observed,9031001001004675,Keolis,117,-,Brommaplan,159,-,Spånga station,2025-03-17 06:43:21,2025-03-17 06:55:02,11.7,FM-topp,Vardag,Brommaplan,Daggstigen,59.33838653564453,17.937908172607422,59.37582015991211,17.903278350830078,4601.9,23.6,0.0,0.0,Brommaplan → Daggstigen,11.0
observed,9031001001001606,Övrigt,127,-,Brommaplan,117,-,Kopparbacken,2025-03-17 06:43:23,2025-03-17 06:48:01,4.6,FM-topp,Vardag,Brommaplan,Sedumbacken,59.33827590942383,17.937767028808594,59.34550857543945,17.929271697998047,937.5,12.2,0.0,0.0,Brommaplan → Sedumbacken,3.0
observed,9031001001001616,Övrigt,517,-,Spånga station,119,-,Backlura,2025-03-17 06:43:23,2025-03-17 06:48:01,4.6,FM-topp,Vardag,Spånga station,Lunda industriområde,59.383392333984375,17.89759635925293,59.39199066162109,17.870370864868164,1814.0,23.7,0.0,0.0,Spånga station → Lunda industriområde,2.8
observed,9031001001004907,Keolis,516,-,Sergels torg,516,-,Mossvägen,2025-03-17 06:47:01,2025-03-17 07:05:00,18.0,FM-topp,Vardag,Sergels torg,Lillebovägen,59.3331413269043,18.06515884399414,59.41503143310547,17.940269470214844,11531.0,38.4,0.0,0.0,Sergels torg → Lillebovägen,15.5
