from_lat,from_lon,to_lat,to_lon,duration_min
59.3341,18.0645,59.4133,17.9447,15.061666666666667
59.3832,17.8981,59.3857,17.8859,2.1283333333333334
59.3587,17.9982,59.4303,17.9473,15.321666666666665
59.3615,17.9733,59.3589,17.9856,1.8666666666666667
59.3411,18.1176,59.3575,18.1044,4.678333333333333
59.3384,17.9379,59.3758,17.9033,10.979999999999999
59.3383,17.9378,59.3455,17.9293,2.996666666666667
59.3834,17.8976,59.392,17.8704,2.8433333333333333
59.3331,18.0652,59.415,17.9403,15.453333333333335
59.3383,17.9379,59.3496,17.9229,4.105
59.3574,18.102,59.3709,18.1278,4.261666666666667
59.3586,17.9979,59.3609,17.9703,4.2683333333333335
59.1752,17.6038,59.1921,17.6278,7.321666666666667
59.3574,18.102,59.3718,18.1326,4.8533333333333335
59.2989,18.0817,59.1665,18.1367,17.240000000000002
59.2529,18.1631,59.2731,18.1763,5.665
59.364,17.8347,59.373,17.8171,3.4
59.429,17.9484,59.3947,17.8741,12.651666666666667
59.3732,18.1418,59.3488,18.1731,7.765
59.3548,17.9732,59.3571,17.9841,1.87
59.3757,17.9694,59.3794,17.9785,2.4516666666666667
59.358,18.1043,59.3301,18.0532,11.401666666666667
59.4154,17.9133,59.4112,17.896,2.555
59.3335,18.065,59.3429,18.0472,8.043333333333333
59.3411,18.1177,59.3486,18.1078,2.7483333333333335
59.3585,17.998,59.3904,18.0435,10.423333333333334
59.4449,17.955,59.43,17.9472,4.665
59.1745,18.1446,59.1701,18.1494,1.54
59.3572,18.1022,59.3613,18.1124,1.7816666666666667
59.3757,17.9703,59.3795,17.9606,2.3066666666666666
59.3654,18.0542,59.391,18.0434,5.62
59.5313,18.0805,59.5698,18.0984,6.698333333333333
59.3341,18.0645,59.3525,18.0301,7.788333333333333
59.3614,17.9734,59.3665,17.96,2.606666666666667
59.3899,17.8645,59.3822,17.9,4.331666666666666
59.3938,17.906,59.3823,17.9006,4.125
59.3385,17.9375,59.3438,17.932,1.4533333333333334
59.3384,17.938,59.3729,17.9302,9.526666666666667
59.3572,18.1022,59.344,18.0794,5.930000000000001
59.381,18.0039,59.3609,17.9726,9.53
59.3756,17.9697,59.3609,17.9725,6.930000000000001
59.3576,18.1023,59.363,18.1176,1.7283333333333333
59.3031,18.1241,59.2602,18.1848,12.601666666666667
59.3384,17.938,59.3516,17.9184,4.7716666666666665
59.3586,17.9981,59.361,17.9639,5.8933333333333335
59.3654,18.0543,59.3757,17.9697,11.296666666666665
59.3634,17.8717,59.3427,17.9061,5.581666666666666
59.2768,17.9095,59.1998,17.8345,15.631666666666666
59.3163,18.1602,59.1668,18.1362,25.418333333333333
59.3634,17.8717,59.3824,17.9001,7.553333333333333
59.3548,17.9734,59.3586,17.9984,3.8366666666666664
59.3586,17.9979,59.3539,17.9971,1.3916666666666666
59.3428,18.0502,59.39,18.0433,9.941666666666666
59.3634,17.8717,59.3822,17.9006,7.7733333333333325
59.3668,18.2241,59.3728,18.1886,3.816666666666667
59.3572,18.1022,59.3825,18.1198,7.806666666666667
59.3334,18.065,59.3429,18.0473,5.8516666666666675
59.4291,17.9484,59.4347,17.9311,2.865
59.338,17.9372,59.3858,18.0067,15.860000000000001
59.353,18.0317,59.3308,18.0573,6.918333333333334
59.3339,18.0646,59.3525,18.03,7.756666666666666
59.4576,17.9238,59.4301,17.9472,6.085
59.3384,17.9379,59.3467,17.9648,4.661666666666666
59.3755,17.9397,59.3778,18.0102,7.931666666666667
59.3799,18.1831,59.3412,18.1152,14.05
59.5152,17.7694,59.5131,17.7548,1.4349999999999998
59.3938,17.906,59.3809,17.9013,3.6766666666666667
59.3584,17.9981,59.3609,17.9725,4.198333333333333
59.4037,17.9422,59.3893,17.8866,11.8
59.3583,17.9979,59.3427,18.0366,7.076666666666667
59.4576,17.9239,59.4238,17.9486,6.9366666666666665
59.3671,18.1332,59.3575,18.103,4.265
59.3817,17.9774,59.4031,17.942,7.706666666666666
59.4033,17.9417,59.4297,17.9482,7.6883333333333335
59.4435,17.9464,59.4376,17.9888,4.453333333333333
59.3382,17.9377,59.3634,17.8711,9.871666666666666
59.416,17.9139,59.3822,17.9006,11.738333333333333
59.3634,17.8716,59.3898,17.8868,7.653333333333333
59.3614,17.9735,59.3952,17.9186,10.388333333333332
59.3529,18.0325,59.3811,17.9717,8.501666666666667
59.3308,18.0568,59.3574,18.1034,10.635
59.2704,18.0947,59.1858,18.1358,12.075
59.3516,18.0418,59.3439,18.0548,2.555
